Observer point at r[0]=1.262205e-01 AU
   time           vr          rho         temp           Bp          prs
4.842293e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
4.938410e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.034503e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.130578e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.226639e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.322692e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.418742e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.514763e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.610756e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.706726e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.802678e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.898617e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
5.994548e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.090478e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.186377e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.282249e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.378099e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.473932e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.569753e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.665569e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.761381e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.857160e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
6.952914e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.048648e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.144366e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.240074e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.335777e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
7.431470e-05 3.000000e+02 6.000000e+02 1.000000e+06 3.999956e+02 8.314473e+06
