Observer point at r[822]=1.000358e+00 AU
   time           vr          rho         temp           Bp          prs
4.712010e-05 2.998870e+02 4.859700e+02 1.232338e+06 9.858688e+02 8.298940e+06
4.804745e-05 2.998844e+02 4.856959e+02 1.231990e+06 9.855906e+02 8.291920e+06
4.897443e-05 2.998818e+02 4.854220e+02 1.231643e+06 9.853126e+02 8.284907e+06
4.990110e-05 2.998791e+02 4.851483e+02 1.231295e+06 9.850347e+02 8.277900e+06
5.082750e-05 2.998765e+02 4.848747e+02 1.230948e+06 9.847569e+02 8.270899e+06
5.175370e-05 2.998738e+02 4.846012e+02 1.230601e+06 9.844791e+02 8.263904e+06
5.267976e-05 2.998711e+02 4.843279e+02 1.230254e+06 9.842014e+02 8.256913e+06
5.360572e-05 2.998685e+02 4.840547e+02 1.229907e+06 9.839236e+02 8.249928e+06
5.453146e-05 2.998657e+02 4.837816e+02 1.229560e+06 9.836460e+02 8.242948e+06
5.545673e-05 2.998630e+02 4.835088e+02 1.229213e+06 9.833685e+02 8.235975e+06
5.638162e-05 2.998603e+02 4.832361e+02 1.228866e+06 9.830911e+02 8.229009e+06
5.730619e-05 2.998576e+02 4.829636e+02 1.228520e+06 9.828138e+02 8.222050e+06
5.823050e-05 2.998548e+02 4.826913e+02 1.228174e+06 9.825366e+02 8.215096e+06
5.915460e-05 2.998520e+02 4.824191e+02 1.227827e+06 9.822594e+02 8.208148e+06
6.007856e-05 2.998492e+02 4.821470e+02 1.227481e+06 9.819823e+02 8.201205e+06
6.100244e-05 2.998464e+02 4.818750e+02 1.227135e+06 9.817052e+02 8.194267e+06
6.192614e-05 2.998436e+02 4.816032e+02 1.226788e+06 9.814282e+02 8.187334e+06
6.284938e-05 2.998408e+02 4.813315e+02 1.226442e+06 9.811513e+02 8.180408e+06
6.377225e-05 2.998379e+02 4.810601e+02 1.226097e+06 9.808745e+02 8.173489e+06
6.469480e-05 2.998351e+02 4.807888e+02 1.225751e+06 9.805978e+02 8.166576e+06
6.561710e-05 2.998322e+02 4.805177e+02 1.225405e+06 9.803212e+02 8.159669e+06
6.653921e-05 2.998293e+02 4.802467e+02 1.225060e+06 9.800446e+02 8.152768e+06
6.746118e-05 2.998264e+02 4.799758e+02 1.224714e+06 9.797681e+02 8.145871e+06
6.838307e-05 2.998235e+02 4.797051e+02 1.224369e+06 9.794916e+02 8.138979e+06
6.930478e-05 2.998206e+02 4.794344e+02 1.224023e+06 9.792152e+02 8.132092e+06
7.022605e-05 2.998176e+02 4.791640e+02 1.223678e+06 9.789388e+02 8.125212e+06
7.114695e-05 2.998147e+02 4.788937e+02 1.223333e+06 9.786626e+02 8.118339e+06
7.206757e-05 2.998117e+02 4.786236e+02 1.222988e+06 9.783865e+02 8.111472e+06
7.298794e-05 2.998087e+02 4.783537e+02 1.222643e+06 9.781105e+02 8.104611e+06
7.390813e-05 2.998057e+02 4.780839e+02 1.222298e+06 9.778345e+02 8.097755e+06
7.482820e-05 2.998027e+02 4.778142e+02 1.221953e+06 9.775585e+02 8.090904e+06
7.574821e-05 2.997997e+02 4.775446e+02 1.221608e+06 9.772826e+02 8.084057e+06
7.666798e-05 2.997966e+02 4.772751e+02 1.221264e+06 9.770067e+02 8.077215e+06
7.758733e-05 2.997936e+02 4.770059e+02 1.220919e+06 9.767309e+02 8.070381e+06
7.850634e-05 2.997905e+02 4.767368e+02 1.220575e+06 9.764553e+02 8.063553e+06
7.942508e-05 2.997874e+02 4.764679e+02 1.220230e+06 9.761797e+02 8.056731e+06
8.034360e-05 2.997843e+02 4.761991e+02 1.219886e+06 9.759042e+02 8.049915e+06
8.126196e-05 2.997812e+02 4.759304e+02 1.219542e+06 9.756288e+02 8.043103e+06
8.218023e-05 2.997781e+02 4.756619e+02 1.219198e+06 9.753533e+02 8.036297e+06
