Observer point at r[822]=1.000358e+00 AU
   time           vr          rho         temp           Bp          prs
1.900567e-03 2.503679e+02 9.991054e+01 5.587667e+05 4.238635e+02 7.736157e+05
1.901445e-03 2.503181e+02 9.980883e+01 5.584822e+05 4.236095e+02 7.724346e+05
1.902323e-03 2.502682e+02 9.970719e+01 5.581977e+05 4.233555e+02 7.712550e+05
1.903201e-03 2.502184e+02 9.960563e+01 5.579134e+05 4.231016e+02 7.700769e+05
1.904079e-03 2.501686e+02 9.950415e+01 5.576291e+05 4.228477e+02 7.689004e+05
1.904957e-03 2.501187e+02 9.940275e+01 5.573449e+05 4.225939e+02 7.677253e+05
1.905834e-03 2.500688e+02 9.930143e+01 5.570608e+05 4.223401e+02 7.665518e+05
1.906712e-03 2.500189e+02 9.920019e+01 5.567767e+05 4.220864e+02 7.653798e+05
1.907590e-03 2.499689e+02 9.909903e+01 5.564928e+05 4.218328e+02 7.642094e+05
1.908468e-03 2.499190e+02 9.899795e+01 5.562089e+05 4.215792e+02 7.630404e+05
1.909346e-03 2.498690e+02 9.889694e+01 5.559251e+05 4.213257e+02 7.618730e+05
1.910224e-03 2.498190e+02 9.879602e+01 5.556413e+05 4.210722e+02 7.607071e+05
1.911102e-03 2.497689e+02 9.869518e+01 5.553577e+05 4.208188e+02 7.595427e+05
1.911980e-03 2.497189e+02 9.859442e+01 5.550741e+05 4.205655e+02 7.583798e+05
1.912858e-03 2.496688e+02 9.849373e+01 5.547906e+05 4.203122e+02 7.572184e+05
1.913736e-03 2.496187e+02 9.839313e+01 5.545072e+05 4.200590e+02 7.560586e+05
1.914614e-03 2.495686e+02 9.829261e+01 5.542239e+05 4.198058e+02 7.549002e+05
1.915492e-03 2.495185e+02 9.819216e+01 5.539406e+05 4.195527e+02 7.537434e+05
1.916370e-03 2.494683e+02 9.809180e+01 5.536575e+05 4.192996e+02 7.525881e+05
1.917248e-03 2.494181e+02 9.799151e+01 5.533744e+05 4.190467e+02 7.514342e+05
1.918125e-03 2.493679e+02 9.789131e+01 5.530914e+05 4.187937e+02 7.502819e+05
1.919003e-03 2.493177e+02 9.779118e+01 5.528084e+05 4.185409e+02 7.491311e+05
1.919881e-03 2.492675e+02 9.769114e+01 5.525256e+05 4.182881e+02 7.479818e+05
1.920759e-03 2.492172e+02 9.759117e+01 5.522428e+05 4.180353e+02 7.468340e+05
1.921637e-03 2.491669e+02 9.749128e+01 5.519601e+05 4.177826e+02 7.456876e+05
1.922515e-03 2.491166e+02 9.739147e+01 5.516775e+05 4.175300e+02 7.445428e+05
1.923393e-03 2.490663e+02 9.729175e+01 5.513950e+05 4.172775e+02 7.433995e+05
1.924271e-03 2.490159e+02 9.719210e+01 5.511125e+05 4.170250e+02 7.422577e+05
1.925149e-03 2.489655e+02 9.709253e+01 5.508302e+05 4.167725e+02 7.411174e+05
1.926027e-03 2.489152e+02 9.699304e+01 5.505479e+05 4.165202e+02 7.399785e+05
1.926905e-03 2.488647e+02 9.689363e+01 5.502657e+05 4.162678e+02 7.388412e+05
1.927783e-03 2.488143e+02 9.679430e+01 5.499835e+05 4.160156e+02 7.377053e+05
1.928661e-03 2.487638e+02 9.669505e+01 5.497015e+05 4.157634e+02 7.365710e+05
1.929539e-03 2.487134e+02 9.659587e+01 5.494195e+05 4.155113e+02 7.354381e+05
1.930417e-03 2.486629e+02 9.649678e+01 5.491376e+05 4.152592e+02 7.343067e+05
1.931294e-03 2.486124e+02 9.639777e+01 5.488558e+05 4.150072e+02 7.331768e+05
1.932172e-03 2.485618e+02 9.629883e+01 5.485741e+05 4.147553e+02 7.320484e+05
1.933050e-03 2.485113e+02 9.619998e+01 5.482925e+05 4.145034e+02 7.309215e+05
1.933928e-03 2.484607e+02 9.610120e+01 5.480109e+05 4.142516e+02 7.297961e+05
1.934806e-03 2.484101e+02 9.600251e+01 5.477295e+05 4.139998e+02 7.286721e+05
1.935684e-03 2.483595e+02 9.590389e+01 5.474481e+05 4.137481e+02 7.275496e+05
1.936562e-03 2.483088e+02 9.580536e+01 5.471667e+05 4.134965e+02 7.264286e+05
1.937440e-03 2.482581e+02 9.570690e+01 5.468855e+05 4.132449e+02 7.253091e+05
1.938318e-03 2.482075e+02 9.560852e+01 5.466044e+05 4.129934e+02 7.241911e+05
1.939196e-03 2.481568e+02 9.551022e+01 5.463233e+05 4.127420e+02 7.230745e+05
1.940074e-03 2.481060e+02 9.541200e+01 5.460423e+05 4.124906e+02 7.219594e+05
1.940952e-03 2.480553e+02 9.531386e+01 5.457614e+05 4.122393e+02 7.208458e+05
1.941830e-03 2.480045e+02 9.521580e+01 5.454806e+05 4.119881e+02 7.197336e+05
1.942708e-03 2.479537e+02 9.511782e+01 5.451999e+05 4.117369e+02 7.186229e+05
1.943585e-03 2.479029e+02 9.501992e+01 5.449192e+05 4.114857e+02 7.175137e+05
1.944463e-03 2.478521e+02 9.492209e+01 5.446386e+05 4.112347e+02 7.164060e+05
1.945341e-03 2.478012e+02 9.482435e+01 5.443582e+05 4.109837e+02 7.152997e+05
1.946219e-03 2.477504e+02 9.472668e+01 5.440777e+05 4.107328e+02 7.141949e+05
1.947097e-03 2.476995e+02 9.462910e+01 5.437974e+05 4.104819e+02 7.130916e+05
1.947975e-03 2.476486e+02 9.453159e+01 5.435172e+05 4.102311e+02 7.119897e+05
1.948853e-03 2.475977e+02 9.443417e+01 5.432370e+05 4.099804e+02 7.108893e+05
1.949731e-03 2.475467e+02 9.433682e+01 5.429570e+05 4.097297e+02 7.097903e+05
1.950609e-03 2.474957e+02 9.423955e+01 5.426770e+05 4.094791e+02 7.086928e+05
1.951487e-03 2.474447e+02 9.414236e+01 5.423971e+05 4.092286e+02 7.075968e+05
1.952365e-03 2.473937e+02 9.404525e+01 5.421172e+05 4.089781e+02 7.065022e+05
1.953243e-03 2.473427e+02 9.394822e+01 5.418375e+05 4.087277e+02 7.054091e+05
1.954121e-03 2.472916e+02 9.385126e+01 5.415578e+05 4.084774e+02 7.043174e+05
1.954999e-03 2.472406e+02 9.375439e+01 5.412783e+05 4.082271e+02 7.032272e+05
1.955877e-03 2.471895e+02 9.365760e+01 5.409988e+05 4.079769e+02 7.021385e+05
1.956754e-03 2.471384e+02 9.356088e+01 5.407194e+05 4.077267e+02 7.010512e+05
1.957632e-03 2.470872e+02 9.346425e+01 5.404401e+05 4.074766e+02 6.999653e+05
1.958510e-03 2.470361e+02 9.336769e+01 5.401608e+05 4.072266e+02 6.988809e+05
1.959388e-03 2.469849e+02 9.327121e+01 5.398817e+05 4.069767e+02 6.977979e+05
1.960266e-03 2.469337e+02 9.317481e+01 5.396026e+05 4.067268e+02 6.967164e+05
1.961144e-03 2.468825e+02 9.307849e+01 5.393236e+05 4.064770e+02 6.956363e+05
1.962022e-03 2.468313e+02 9.298225e+01 5.390447e+05 4.062272e+02 6.945577e+05
1.962900e-03 2.467800e+02 9.288609e+01 5.387659e+05 4.059776e+02 6.934805e+05
1.963778e-03 2.467288e+02 9.279001e+01 5.384872e+05 4.057280e+02 6.924048e+05
1.964656e-03 2.466775e+02 9.269400e+01 5.382086e+05 4.054784e+02 6.913305e+05
1.965534e-03 2.466262e+02 9.259808e+01 5.379300e+05 4.052289e+02 6.902576e+05
1.966412e-03 2.465748e+02 9.250223e+01 5.376515e+05 4.049795e+02 6.891862e+05
1.967290e-03 2.465235e+02 9.240647e+01 5.373732e+05 4.047302e+02 6.881162e+05
1.968168e-03 2.464721e+02 9.231078e+01 5.370948e+05 4.044809e+02 6.870477e+05
1.969045e-03 2.464207e+02 9.221517e+01 5.368166e+05 4.042317e+02 6.859805e+05
1.969923e-03 2.463693e+02 9.211964e+01 5.365385e+05 4.039825e+02 6.849149e+05
1.970801e-03 2.463179e+02 9.202419e+01 5.362605e+05 4.037335e+02 6.838506e+05
1.971679e-03 2.462665e+02 9.192882e+01 5.359825e+05 4.034845e+02 6.827878e+05
1.972557e-03 2.462150e+02 9.183352e+01 5.357046e+05 4.032355e+02 6.817264e+05
1.973435e-03 2.461635e+02 9.173831e+01 5.354268e+05 4.029867e+02 6.806664e+05
1.974313e-03 2.461120e+02 9.164317e+01 5.351491e+05 4.027379e+02 6.796079e+05
1.975191e-03 2.460605e+02 9.154811e+01 5.348715e+05 4.024891e+02 6.785508e+05
1.976069e-03 2.460089e+02 9.145314e+01 5.345940e+05 4.022405e+02 6.774951e+05
1.976947e-03 2.459574e+02 9.135824e+01 5.343166e+05 4.019919e+02 6.764408e+05
1.977825e-03 2.459058e+02 9.126342e+01 5.340392e+05 4.017433e+02 6.753880e+05
1.978703e-03 2.458542e+02 9.116867e+01 5.337619e+05 4.014949e+02 6.743365e+05
1.979581e-03 2.458026e+02 9.107401e+01 5.334847e+05 4.012465e+02 6.732865e+05
1.980459e-03 2.457509e+02 9.097943e+01 5.332076e+05 4.009982e+02 6.722379e+05
1.981337e-03 2.456993e+02 9.088492e+01 5.329306e+05 4.007499e+02 6.711908e+05
1.982214e-03 2.456476e+02 9.079049e+01 5.326537e+05 4.005018e+02 6.701450e+05
1.983092e-03 2.455959e+02 9.069614e+01 5.323769e+05 4.002537e+02 6.691007e+05
1.983970e-03 2.455442e+02 9.060187e+01 5.321001e+05 4.000056e+02 6.680577e+05
1.984848e-03 2.454925e+02 9.050768e+01 5.318235e+05 3.997576e+02 6.670162e+05
1.985726e-03 2.454407e+02 9.041357e+01 5.315469e+05 3.995097e+02 6.659761e+05
1.986604e-03 2.453889e+02 9.031954e+01 5.312704e+05 3.992619e+02 6.649374e+05
1.987482e-03 2.453371e+02 9.022558e+01 5.309940e+05 3.990142e+02 6.639001e+05
1.988360e-03 2.452853e+02 9.013170e+01 5.307177e+05 3.987665e+02 6.628643e+05
1.989238e-03 2.452335e+02 9.003791e+01 5.304415e+05 3.985188e+02 6.618298e+05
1.990116e-03 2.451817e+02 8.994419e+01 5.301653e+05 3.982713e+02 6.607967e+05
1.990994e-03 2.451298e+02 8.985055e+01 5.298893e+05 3.980238e+02 6.597650e+05
1.991872e-03 2.450779e+02 8.975698e+01 5.296133e+05 3.977764e+02 6.587348e+05
1.992750e-03 2.450260e+02 8.966350e+01 5.293374e+05 3.975291e+02 6.577059e+05
1.993628e-03 2.449741e+02 8.957009e+01 5.290616e+05 3.972818e+02 6.566785e+05
1.994505e-03 2.449222e+02 8.947677e+01 5.287859e+05 3.970346e+02 6.556524e+05
1.995383e-03 2.448702e+02 8.938352e+01 5.285103e+05 3.967875e+02 6.546277e+05
1.996261e-03 2.448182e+02 8.929035e+01 5.282348e+05 3.965405e+02 6.536044e+05
1.997139e-03 2.447662e+02 8.919726e+01 5.279594e+05 3.962935e+02 6.525826e+05
1.998017e-03 2.447142e+02 8.910424e+01 5.276840e+05 3.960466e+02 6.515621e+05
1.998895e-03 2.446622e+02 8.901131e+01 5.274088e+05 3.957997e+02 6.505430e+05
1.999773e-03 2.446101e+02 8.891845e+01 5.271336e+05 3.955530e+02 6.495253e+05
2.000651e-03 2.445581e+02 8.882567e+01 5.268585e+05 3.953063e+02 6.485090e+05
2.001529e-03 2.445060e+02 8.873298e+01 5.265835e+05 3.950597e+02 6.474940e+05
2.002407e-03 2.444539e+02 8.864035e+01 5.263086e+05 3.948131e+02 6.464805e+05
2.003285e-03 2.444018e+02 8.854781e+01 5.260338e+05 3.945667e+02 6.454684e+05
2.004163e-03 2.443496e+02 8.845535e+01 5.257591e+05 3.943203e+02 6.444576e+05
2.005041e-03 2.442975e+02 8.836296e+01 5.254845e+05 3.940739e+02 6.434482e+05
2.005919e-03 2.442453e+02 8.827065e+01 5.252099e+05 3.938277e+02 6.424402e+05
2.006797e-03 2.441931e+02 8.817842e+01 5.249355e+05 3.935815e+02 6.414336e+05
2.007674e-03 2.441409e+02 8.808627e+01 5.246611e+05 3.933354e+02 6.404283e+05
2.008552e-03 2.440886e+02 8.799420e+01 5.243868e+05 3.930894e+02 6.394245e+05
2.009430e-03 2.440364e+02 8.790220e+01 5.241126e+05 3.928434e+02 6.384220e+05
2.010308e-03 2.439841e+02 8.781029e+01 5.238385e+05 3.925975e+02 6.374209e+05
2.011186e-03 2.439318e+02 8.771845e+01 5.235645e+05 3.923517e+02 6.364212e+05
2.012064e-03 2.438795e+02 8.762669e+01 5.232906e+05 3.921059e+02 6.354228e+05
2.012942e-03 2.438272e+02 8.753500e+01 5.230168e+05 3.918603e+02 6.344258e+05
2.013820e-03 2.437749e+02 8.744340e+01 5.227430e+05 3.916147e+02 6.334302e+05
2.014698e-03 2.437225e+02 8.735187e+01 5.224694e+05 3.913692e+02 6.324359e+05
2.015576e-03 2.436701e+02 8.726043e+01 5.221958e+05 3.911237e+02 6.314431e+05
2.016454e-03 2.436178e+02 8.716906e+01 5.219224e+05 3.908784e+02 6.304516e+05
2.017332e-03 2.435653e+02 8.707777e+01 5.216490e+05 3.906331e+02 6.294614e+05
2.018210e-03 2.435129e+02 8.698655e+01 5.213757e+05 3.903878e+02 6.284726e+05
2.019088e-03 2.434605e+02 8.689542e+01 5.211025e+05 3.901427e+02 6.274852e+05
2.019965e-03 2.434080e+02 8.680436e+01 5.208294e+05 3.898976e+02 6.264992e+05
2.020843e-03 2.433555e+02 8.671338e+01 5.205564e+05 3.896526e+02 6.255145e+05
2.021721e-03 2.433030e+02 8.662248e+01 5.202835e+05 3.894077e+02 6.245311e+05
2.022599e-03 2.432505e+02 8.653165e+01 5.200106e+05 3.891629e+02 6.235492e+05
2.023477e-03 2.431980e+02 8.644091e+01 5.197379e+05 3.889181e+02 6.225685e+05
2.024355e-03 2.431454e+02 8.635024e+01 5.194653e+05 3.886734e+02 6.215893e+05
2.025233e-03 2.430929e+02 8.625965e+01 5.191927e+05 3.884288e+02 6.206114e+05
2.026111e-03 2.430403e+02 8.616914e+01 5.189202e+05 3.881843e+02 6.196348e+05
2.026989e-03 2.429877e+02 8.607870e+01 5.186479e+05 3.879398e+02 6.186596e+05
2.027867e-03 2.429351e+02 8.598835e+01 5.183756e+05 3.876954e+02 6.176858e+05
2.028745e-03 2.428824e+02 8.589807e+01 5.181034e+05 3.874511e+02 6.167133e+05
2.029623e-03 2.428298e+02 8.580787e+01 5.178313e+05 3.872068e+02 6.157421e+05
2.030501e-03 2.427771e+02 8.571775e+01 5.175593e+05 3.869627e+02 6.147723e+05
2.031379e-03 2.427244e+02 8.562770e+01 5.172874e+05 3.867186e+02 6.138039e+05
2.032257e-03 2.426717e+02 8.553773e+01 5.170155e+05 3.864746e+02 6.128367e+05
2.033134e-03 2.426190e+02 8.544784e+01 5.167438e+05 3.862307e+02 6.118710e+05
2.034012e-03 2.425663e+02 8.535803e+01 5.164722e+05 3.859868e+02 6.109065e+05
2.034890e-03 2.425135e+02 8.526830e+01 5.162006e+05 3.857430e+02 6.099435e+05
2.035768e-03 2.424608e+02 8.517864e+01 5.159292e+05 3.854993e+02 6.089817e+05
2.036646e-03 2.424080e+02 8.508906e+01 5.156578e+05 3.852557e+02 6.080213e+05
2.037524e-03 2.423552e+02 8.499956e+01 5.153865e+05 3.850122e+02 6.070622e+05
2.038402e-03 2.423023e+02 8.491014e+01 5.151154e+05 3.847687e+02 6.061045e+05
2.039280e-03 2.422495e+02 8.482079e+01 5.148443e+05 3.845253e+02 6.051481e+05
2.040158e-03 2.421967e+02 8.473153e+01 5.145733e+05 3.842820e+02 6.041930e+05
2.041036e-03 2.421438e+02 8.464234e+01 5.143024e+05 3.840388e+02 6.032393e+05
2.041914e-03 2.420909e+02 8.455322e+01 5.140316e+05 3.837956e+02 6.022869e+05
2.042792e-03 2.420380e+02 8.446419e+01 5.137609e+05 3.835525e+02 6.013358e+05
2.043670e-03 2.419851e+02 8.437523e+01 5.134902e+05 3.833095e+02 6.003861e+05
2.044548e-03 2.419321e+02 8.428635e+01 5.132197e+05 3.830666e+02 5.994377e+05
2.045425e-03 2.418792e+02 8.419755e+01 5.129493e+05 3.828238e+02 5.984906e+05
2.046303e-03 2.418262e+02 8.410882e+01 5.126789e+05 3.825810e+02 5.975448e+05
2.047181e-03 2.417732e+02 8.402017e+01 5.124087e+05 3.823383e+02 5.966004e+05
2.048059e-03 2.417202e+02 8.393160e+01 5.121386e+05 3.820957e+02 5.956573e+05
2.048937e-03 2.416672e+02 8.384311e+01 5.118685e+05 3.818532e+02 5.947155e+05
2.049815e-03 2.416142e+02 8.375469e+01 5.115985e+05 3.816107e+02 5.937750e+05
2.050693e-03 2.415611e+02 8.366636e+01 5.113287e+05 3.813684e+02 5.928358e+05
2.051571e-03 2.415081e+02 8.357810e+01 5.110589e+05 3.811261e+02 5.918980e+05
2.052449e-03 2.414550e+02 8.348991e+01 5.107892e+05 3.808839e+02 5.909615e+05
2.053327e-03 2.414019e+02 8.340181e+01 5.105196e+05 3.806417e+02 5.900263e+05
2.054205e-03 2.413488e+02 8.331378e+01 5.102501e+05 3.803997e+02 5.890924e+05
2.055083e-03 2.412956e+02 8.322582e+01 5.099807e+05 3.801577e+02 5.881598e+05
2.055961e-03 2.412425e+02 8.313795e+01 5.097114e+05 3.799158e+02 5.872285e+05
2.056839e-03 2.411893e+02 8.305015e+01 5.094422e+05 3.796740e+02 5.862986e+05
2.057717e-03 2.411361e+02 8.296243e+01 5.091731e+05 3.794323e+02 5.853699e+05
2.058594e-03 2.410829e+02 8.287479e+01 5.089041e+05 3.791906e+02 5.844426e+05
2.059472e-03 2.410297e+02 8.278723e+01 5.086351e+05 3.789491e+02 5.835165e+05
2.060350e-03 2.409765e+02 8.269974e+01 5.083663e+05 3.787076e+02 5.825918e+05
2.061228e-03 2.409233e+02 8.261233e+01 5.080976e+05 3.784662e+02 5.816683e+05
2.062106e-03 2.408700e+02 8.252499e+01 5.078289e+05 3.782248e+02 5.807462e+05
2.062984e-03 2.408167e+02 8.243773e+01 5.075604e+05 3.779836e+02 5.798254e+05
2.063862e-03 2.407634e+02 8.235055e+01 5.072919e+05 3.777424e+02 5.789059e+05
2.064740e-03 2.407101e+02 8.226345e+01 5.070236e+05 3.775013e+02 5.779876e+05
2.065618e-03 2.406568e+02 8.217643e+01 5.067553e+05 3.772603e+02 5.770707e+05
2.066496e-03 2.406035e+02 8.208948e+01 5.064872e+05 3.770194e+02 5.761551e+05
2.067374e-03 2.405501e+02 8.200261e+01 5.062191e+05 3.767786e+02 5.752407e+05
2.068252e-03 2.404968e+02 8.191581e+01 5.059511e+05 3.765378e+02 5.743277e+05
2.069130e-03 2.404434e+02 8.182909e+01 5.056832e+05 3.762971e+02 5.734159e+05
2.070008e-03 2.403900e+02 8.174245e+01 5.054155e+05 3.760566e+02 5.725055e+05
2.070885e-03 2.403366e+02 8.165589e+01 5.051478e+05 3.758160e+02 5.715963e+05
2.071763e-03 2.402831e+02 8.156940e+01 5.048802e+05 3.755756e+02 5.706884e+05
2.072641e-03 2.402297e+02 8.148299e+01 5.046127e+05 3.753353e+02 5.697818e+05
2.073519e-03 2.401762e+02 8.139666e+01 5.043453e+05 3.750950e+02 5.688765e+05
2.074397e-03 2.401228e+02 8.131040e+01 5.040780e+05 3.748548e+02 5.679725e+05
2.075275e-03 2.400693e+02 8.122422e+01 5.038108e+05 3.746147e+02 5.670697e+05
2.076153e-03 2.400158e+02 8.113812e+01 5.035437e+05 3.743747e+02 5.661683e+05
2.077031e-03 2.399623e+02 8.105209e+01 5.032767e+05 3.741348e+02 5.652681e+05
2.077909e-03 2.399087e+02 8.096614e+01 5.030097e+05 3.738949e+02 5.643692e+05
2.078787e-03 2.398552e+02 8.088027e+01 5.027429e+05 3.736551e+02 5.634716e+05
2.079665e-03 2.398016e+02 8.079447e+01 5.024762e+05 3.734155e+02 5.625752e+05
2.080543e-03 2.397480e+02 8.070875e+01 5.022096e+05 3.731759e+02 5.616802e+05
2.081421e-03 2.396944e+02 8.062311e+01 5.019431e+05 3.729363e+02 5.607864e+05
2.082299e-03 2.396408e+02 8.053754e+01 5.016766e+05 3.726969e+02 5.598939e+05
2.083177e-03 2.395872e+02 8.045205e+01 5.014103e+05 3.724576e+02 5.590026e+05
2.084054e-03 2.395336e+02 8.036664e+01 5.011441e+05 3.722183e+02 5.581126e+05
2.084932e-03 2.394799e+02 8.028130e+01 5.008779e+05 3.719791e+02 5.572239e+05
2.085810e-03 2.394262e+02 8.019604e+01 5.006119e+05 3.717400e+02 5.563365e+05
2.086688e-03 2.393726e+02 8.011086e+01 5.003459e+05 3.715010e+02 5.554503e+05
2.087566e-03 2.393189e+02 8.002575e+01 5.000801e+05 3.712621e+02 5.545654e+05
2.088444e-03 2.392652e+02 7.994072e+01 4.998143e+05 3.710232e+02 5.536818e+05
2.089322e-03 2.392114e+02 7.985577e+01 4.995487e+05 3.707845e+02 5.527994e+05
2.090200e-03 2.391577e+02 7.977089e+01 4.992831e+05 3.705458e+02 5.519183e+05
2.091078e-03 2.391039e+02 7.968609e+01 4.990177e+05 3.703072e+02 5.510385e+05
2.091956e-03 2.390502e+02 7.960137e+01 4.987523e+05 3.700687e+02 5.501599e+05
2.092834e-03 2.389964e+02 7.951672e+01 4.984871e+05 3.698303e+02 5.492825e+05
2.093712e-03 2.389426e+02 7.943214e+01 4.982219e+05 3.695919e+02 5.484065e+05
2.094590e-03 2.388888e+02 7.934765e+01 4.979568e+05 3.693537e+02 5.475316e+05
2.095468e-03 2.388349e+02 7.926323e+01 4.976919e+05 3.691155e+02 5.466581e+05
2.096345e-03 2.387811e+02 7.917889e+01 4.974270e+05 3.688774e+02 5.457858e+05
2.097223e-03 2.387273e+02 7.909462e+01 4.971622e+05 3.686394e+02 5.449147e+05
2.098101e-03 2.386734e+02 7.901043e+01 4.968976e+05 3.684015e+02 5.440449e+05
2.098979e-03 2.386195e+02 7.892631e+01 4.966330e+05 3.681637e+02 5.431763e+05
2.099857e-03 2.385656e+02 7.884227e+01 4.963685e+05 3.679260e+02 5.423090e+05
2.100735e-03 2.385117e+02 7.875831e+01 4.961041e+05 3.676883e+02 5.414430e+05
2.101613e-03 2.384578e+02 7.867443e+01 4.958399e+05 3.674508e+02 5.405782e+05
2.102491e-03 2.384038e+02 7.859062e+01 4.955757e+05 3.672133e+02 5.397146e+05
2.103369e-03 2.383499e+02 7.850688e+01 4.953116e+05 3.669759e+02 5.388523e+05
2.104247e-03 2.382959e+02 7.842322e+01 4.950476e+05 3.667386e+02 5.379912e+05
2.105125e-03 2.382419e+02 7.833964e+01 4.947838e+05 3.665014e+02 5.371313e+05
2.106003e-03 2.381879e+02 7.825614e+01 4.945200e+05 3.662642e+02 5.362727e+05
2.106881e-03 2.381339e+02 7.817271e+01 4.942563e+05 3.660272e+02 5.354154e+05
2.107759e-03 2.380799e+02 7.808935e+01 4.939927e+05 3.657902e+02 5.345592e+05
2.108637e-03 2.380259e+02 7.800607e+01 4.937293e+05 3.655534e+02 5.337043e+05
2.109514e-03 2.379718e+02 7.792287e+01 4.934659e+05 3.653166e+02 5.328507e+05
2.110392e-03 2.379178e+02 7.783975e+01 4.932026e+05 3.650799e+02 5.319983e+05
2.111270e-03 2.378637e+02 7.775670e+01 4.929394e+05 3.648433e+02 5.311471e+05
2.112148e-03 2.378096e+02 7.767372e+01 4.926763e+05 3.646068e+02 5.302971e+05
2.113026e-03 2.377555e+02 7.759082e+01 4.924134e+05 3.643703e+02 5.294484e+05
2.113904e-03 2.377014e+02 7.750800e+01 4.921505e+05 3.641340e+02 5.286009e+05
2.114782e-03 2.376473e+02 7.742525e+01 4.918877e+05 3.638977e+02 5.277546e+05
2.115660e-03 2.375931e+02 7.734258e+01 4.916250e+05 3.636616e+02 5.269096e+05
2.116538e-03 2.375390e+02 7.725998e+01 4.913624e+05 3.634255e+02 5.260657e+05
2.117416e-03 2.374848e+02 7.717746e+01 4.911000e+05 3.631895e+02 5.252231e+05
2.118294e-03 2.374306e+02 7.709502e+01 4.908376e+05 3.629536e+02 5.243818e+05
2.119172e-03 2.373764e+02 7.701265e+01 4.905753e+05 3.627178e+02 5.235416e+05
2.120050e-03 2.373222e+02 7.693036e+01 4.903131e+05 3.624821e+02 5.227027e+05
2.120928e-03 2.372680e+02 7.684814e+01 4.900510e+05 3.622464e+02 5.218650e+05
2.121805e-03 2.372138e+02 7.676600e+01 4.897891e+05 3.620109e+02 5.210285e+05
2.122683e-03 2.371595e+02 7.668393e+01 4.895272e+05 3.617754e+02 5.201932e+05
2.123561e-03 2.371053e+02 7.660194e+01 4.892654e+05 3.615400e+02 5.193591e+05
2.124439e-03 2.370510e+02 7.652002e+01 4.890037e+05 3.613048e+02 5.185262e+05
2.125317e-03 2.369967e+02 7.643818e+01 4.887422e+05 3.610696e+02 5.176946e+05
2.126195e-03 2.369424e+02 7.635642e+01 4.884807e+05 3.608345e+02 5.168642e+05
2.127073e-03 2.368881e+02 7.627473e+01 4.882193e+05 3.605995e+02 5.160349e+05
2.127951e-03 2.368338e+02 7.619312e+01 4.879581e+05 3.603645e+02 5.152069e+05
2.128829e-03 2.367794e+02 7.611158e+01 4.876969e+05 3.601297e+02 5.143801e+05
2.129707e-03 2.367251e+02 7.603011e+01 4.874358e+05 3.598950e+02 5.135545e+05
2.130585e-03 2.366707e+02 7.594873e+01 4.871749e+05 3.596603e+02 5.127301e+05
2.131463e-03 2.366163e+02 7.586741e+01 4.869140e+05 3.594257e+02 5.119069e+05
2.132341e-03 2.365620e+02 7.578618e+01 4.866532e+05 3.591913e+02 5.110849e+05
2.133219e-03 2.365076e+02 7.570501e+01 4.863926e+05 3.589569e+02 5.102641e+05
2.134097e-03 2.364532e+02 7.562393e+01 4.861320e+05 3.587226e+02 5.094446e+05
2.134974e-03 2.363987e+02 7.554292e+01 4.858716e+05 3.584884e+02 5.086262e+05
2.135852e-03 2.363443e+02 7.546198e+01 4.856112e+05 3.582543e+02 5.078090e+05
2.136730e-03 2.362898e+02 7.538112e+01 4.853510e+05 3.580203e+02 5.069930e+05
2.137608e-03 2.362354e+02 7.530033e+01 4.850908e+05 3.577863e+02 5.061782e+05
2.138486e-03 2.361809e+02 7.521962e+01 4.848308e+05 3.575525e+02 5.053646e+05
2.139364e-03 2.361264e+02 7.513898e+01 4.845708e+05 3.573188e+02 5.045521e+05
2.140242e-03 2.360719e+02 7.505842e+01 4.843110e+05 3.570851e+02 5.037409e+05
2.141120e-03 2.360174e+02 7.497794e+01 4.840513e+05 3.568515e+02 5.029309e+05
2.141998e-03 2.359629e+02 7.489752e+01 4.837916e+05 3.566181e+02 5.021220e+05
2.142876e-03 2.359084e+02 7.481719e+01 4.835321e+05 3.563847e+02 5.013144e+05
2.143754e-03 2.358538e+02 7.473693e+01 4.832727e+05 3.561514e+02 5.005079e+05
2.144632e-03 2.357993e+02 7.465674e+01 4.830133e+05 3.559182e+02 4.997026e+05
2.145510e-03 2.357447e+02 7.457663e+01 4.827541e+05 3.556851e+02 4.988985e+05
2.146388e-03 2.356901e+02 7.449659e+01 4.824950e+05 3.554521e+02 4.980956e+05
2.147265e-03 2.356355e+02 7.441663e+01 4.822360e+05 3.552192e+02 4.972938e+05
2.148143e-03 2.355809e+02 7.433674e+01 4.819771e+05 3.549864e+02 4.964932e+05
2.149021e-03 2.355263e+02 7.425693e+01 4.817182e+05 3.547536e+02 4.956939e+05
2.149899e-03 2.354717e+02 7.417719e+01 4.814595e+05 3.545210e+02 4.948956e+05
2.150777e-03 2.354170e+02 7.409753e+01 4.812009e+05 3.542884e+02 4.940986e+05
2.151655e-03 2.353624e+02 7.401794e+01 4.809424e+05 3.540560e+02 4.933027e+05
2.152533e-03 2.353077e+02 7.393842e+01 4.806840e+05 3.538236e+02 4.925081e+05
2.153411e-03 2.352531e+02 7.385898e+01 4.804257e+05 3.535913e+02 4.917145e+05
2.154289e-03 2.351984e+02 7.377962e+01 4.801675e+05 3.533592e+02 4.909222e+05
