   time      tracer1      tracer2
5.295017e-03 1.399143e-01 1.395998e-01
5.295903e-03 1.402291e-01 1.395998e-01
5.296789e-03 1.405441e-01 1.395998e-01
5.297674e-03 1.408593e-01 1.395998e-01
5.298560e-03 1.411748e-01 1.395998e-01
5.299446e-03 1.414904e-01 1.395998e-01
5.300332e-03 1.418063e-01 1.395998e-01
5.301218e-03 1.421224e-01 1.395998e-01
5.302103e-03 1.424387e-01 1.395998e-01
5.302989e-03 1.427553e-01 1.395998e-01
5.303875e-03 1.430720e-01 1.395998e-01
5.304761e-03 1.433890e-01 1.395998e-01
5.305647e-03 1.437062e-01 1.395998e-01
5.306532e-03 1.440236e-01 1.395998e-01
5.307418e-03 1.443411e-01 1.395998e-01
5.308304e-03 1.446589e-01 1.395998e-01
5.309190e-03 1.449770e-01 1.395998e-01
5.310076e-03 1.452952e-01 1.395998e-01
5.310961e-03 1.456136e-01 1.395998e-01
5.311847e-03 1.459304e-01 1.395998e-01
5.312728e-03 1.462449e-01 1.395998e-01
5.313602e-03 1.465569e-01 1.395998e-01
5.314468e-03 1.468664e-01 1.395998e-01
5.315327e-03 1.471733e-01 1.395998e-01
5.316178e-03 1.474776e-01 1.395998e-01
5.317021e-03 1.477792e-01 1.395998e-01
5.317857e-03 1.480781e-01 1.395998e-01
5.318684e-03 1.483742e-01 1.395998e-01
5.319503e-03 1.486675e-01 1.395998e-01
5.320314e-03 1.489580e-01 1.395998e-01
5.321117e-03 1.492457e-01 1.395998e-01
5.321912e-03 1.495306e-01 1.395998e-01
5.322698e-03 1.498126e-01 1.395998e-01
5.323476e-03 1.500918e-01 1.395998e-01
5.324246e-03 1.503682e-01 1.395998e-01
5.325008e-03 1.506417e-01 1.395998e-01
5.325762e-03 1.509125e-01 1.395998e-01
5.326507e-03 1.511805e-01 1.395998e-01
5.327245e-03 1.514457e-01 1.395998e-01
5.327974e-03 1.517083e-01 1.395998e-01
5.328696e-03 1.519681e-01 1.395998e-01
5.329410e-03 1.522252e-01 1.395998e-01
5.330116e-03 1.524797e-01 1.395998e-01
5.330815e-03 1.527315e-01 1.395998e-01
5.331506e-03 1.529808e-01 1.395998e-01
5.332190e-03 1.532275e-01 1.395998e-01
5.332867e-03 1.534718e-01 1.395998e-01
5.333536e-03 1.537135e-01 1.395998e-01
5.334199e-03 1.539528e-01 1.395998e-01
5.334854e-03 1.541897e-01 1.395998e-01
5.335502e-03 1.544243e-01 1.395998e-01
5.336144e-03 1.546565e-01 1.395998e-01
5.336779e-03 1.548864e-01 1.395998e-01
5.337408e-03 1.551141e-01 1.395998e-01
5.338030e-03 1.553395e-01 1.395998e-01
5.338646e-03 1.555628e-01 1.395998e-01
5.339256e-03 1.557839e-01 1.395998e-01
5.339860e-03 1.560030e-01 1.395998e-01
5.340458e-03 1.562200e-01 1.395998e-01
5.341049e-03 1.564349e-01 1.395998e-01
5.341636e-03 1.566479e-01 1.395998e-01
5.342216e-03 1.568589e-01 1.395998e-01
5.342791e-03 1.570680e-01 1.395998e-01
5.343361e-03 1.572752e-01 1.395998e-01
5.343925e-03 1.574806e-01 1.395998e-01
5.344484e-03 1.576841e-01 1.395998e-01
5.345038e-03 1.578859e-01 1.395998e-01
5.345587e-03 1.580859e-01 1.395998e-01
5.346131e-03 1.582842e-01 1.395998e-01
5.346671e-03 1.584808e-01 1.395998e-01
5.347205e-03 1.586758e-01 1.395998e-01
5.347735e-03 1.588692e-01 1.395998e-01
5.348260e-03 1.590610e-01 1.395998e-01
5.348781e-03 1.592512e-01 1.395998e-01
5.349297e-03 1.594399e-01 1.395998e-01
5.349809e-03 1.596270e-01 1.395998e-01
5.350317e-03 1.598127e-01 1.395998e-01
5.350821e-03 1.599970e-01 1.395998e-01
5.351321e-03 1.601799e-01 1.395998e-01
5.351816e-03 1.603613e-01 1.395998e-01
5.352308e-03 1.605414e-01 1.395998e-01
5.352796e-03 1.607201e-01 1.395998e-01
5.353280e-03 1.608976e-01 1.395998e-01
5.353761e-03 1.610737e-01 1.395998e-01
5.354237e-03 1.612486e-01 1.395998e-01
5.354711e-03 1.614222e-01 1.395998e-01
5.355180e-03 1.615946e-01 1.395998e-01
5.355647e-03 1.617658e-01 1.395998e-01
5.356110e-03 1.619358e-01 1.395998e-01
5.356569e-03 1.621046e-01 1.395998e-01
5.357026e-03 1.622723e-01 1.395998e-01
5.357479e-03 1.624389e-01 1.395998e-01
5.357929e-03 1.626044e-01 1.395998e-01
5.358376e-03 1.627688e-01 1.395998e-01
5.358820e-03 1.629322e-01 1.395998e-01
5.359261e-03 1.630945e-01 1.395998e-01
5.359699e-03 1.632558e-01 1.395998e-01
5.360134e-03 1.634160e-01 1.395998e-01
5.360567e-03 1.635753e-01 1.395998e-01
5.360996e-03 1.637336e-01 1.395998e-01
5.361423e-03 1.638910e-01 1.395998e-01
5.361847e-03 1.640474e-01 1.395998e-01
5.362269e-03 1.642029e-01 1.395998e-01
5.362688e-03 1.643574e-01 1.395998e-01
5.363104e-03 1.645111e-01 1.395998e-01
5.363518e-03 1.646639e-01 1.395998e-01
5.363930e-03 1.648159e-01 1.395998e-01
5.364339e-03 1.649669e-01 1.395998e-01
5.364745e-03 1.651172e-01 1.395998e-01
5.365150e-03 1.652666e-01 1.395998e-01
5.365552e-03 1.654152e-01 1.395998e-01
5.365952e-03 1.655630e-01 1.395998e-01
5.366349e-03 1.657100e-01 1.395998e-01
5.366744e-03 1.658563e-01 1.395998e-01
5.367138e-03 1.660018e-01 1.395998e-01
5.367529e-03 1.661465e-01 1.395998e-01
5.367918e-03 1.662905e-01 1.395998e-01
5.368305e-03 1.664338e-01 1.395998e-01
5.368689e-03 1.665763e-01 1.395998e-01
5.369072e-03 1.667182e-01 1.395998e-01
5.369453e-03 1.668593e-01 1.395998e-01
5.369832e-03 1.669998e-01 1.395998e-01
5.370209e-03 1.671396e-01 1.395998e-01
5.370584e-03 1.672788e-01 1.395998e-01
5.370958e-03 1.674172e-01 1.395998e-01
5.371329e-03 1.675551e-01 1.395998e-01
5.371699e-03 1.676923e-01 1.395998e-01
5.372067e-03 1.678289e-01 1.395998e-01
5.372433e-03 1.679648e-01 1.395998e-01
5.372798e-03 1.681002e-01 1.395998e-01
5.373160e-03 1.682350e-01 1.395998e-01
5.373522e-03 1.683692e-01 1.395998e-01
5.373881e-03 1.685028e-01 1.395998e-01
5.374239e-03 1.686358e-01 1.395998e-01
5.374595e-03 1.687682e-01 1.395998e-01
5.374950e-03 1.689001e-01 1.395998e-01
5.375303e-03 1.690315e-01 1.395998e-01
5.375655e-03 1.691623e-01 1.395998e-01
5.376005e-03 1.692926e-01 1.395998e-01
5.376354e-03 1.694224e-01 1.395998e-01
5.376701e-03 1.695516e-01 1.395998e-01
5.377046e-03 1.696803e-01 1.395998e-01
5.377391e-03 1.698086e-01 1.395998e-01
5.377734e-03 1.699363e-01 1.395998e-01
5.378075e-03 1.700635e-01 1.395998e-01
5.378415e-03 1.701903e-01 1.395998e-01
5.378754e-03 1.703165e-01 1.395998e-01
5.379091e-03 1.704424e-01 1.395998e-01
5.379428e-03 1.705677e-01 1.395998e-01
5.379762e-03 1.706926e-01 1.395998e-01
5.380096e-03 1.708170e-01 1.395998e-01
5.380428e-03 1.709410e-01 1.395998e-01
5.380759e-03 1.710645e-01 1.395998e-01
5.381089e-03 1.711876e-01 1.395998e-01
5.381418e-03 1.713103e-01 1.395998e-01
5.381745e-03 1.714326e-01 1.395998e-01
5.382072e-03 1.715544e-01 1.395998e-01
5.382397e-03 1.716758e-01 1.395998e-01
5.382721e-03 1.717969e-01 1.395998e-01
5.383043e-03 1.719175e-01 1.395998e-01
5.383365e-03 1.720377e-01 1.395998e-01
5.383686e-03 1.721575e-01 1.395998e-01
5.384005e-03 1.722770e-01 1.395998e-01
5.384324e-03 1.723960e-01 1.395998e-01
5.384641e-03 1.725147e-01 1.395998e-01
5.384957e-03 1.726330e-01 1.395998e-01
5.385272e-03 1.727509e-01 1.395998e-01
5.385587e-03 1.728685e-01 1.395998e-01
5.385900e-03 1.729857e-01 1.395998e-01
5.386212e-03 1.731026e-01 1.395998e-01
5.386523e-03 1.732191e-01 1.395998e-01
5.386833e-03 1.733353e-01 1.395998e-01
5.387143e-03 1.734511e-01 1.395998e-01
5.387451e-03 1.735666e-01 1.395998e-01
5.387758e-03 1.736817e-01 1.395998e-01
5.388065e-03 1.737966e-01 1.395998e-01
5.388370e-03 1.739111e-01 1.395998e-01
5.388675e-03 1.740253e-01 1.395998e-01
5.388979e-03 1.741391e-01 1.395998e-01
5.389281e-03 1.742527e-01 1.395998e-01
5.389583e-03 1.743659e-01 1.395998e-01
5.389884e-03 1.744788e-01 1.395998e-01
5.390185e-03 1.745915e-01 1.395998e-01
5.390484e-03 1.747038e-01 1.395998e-01
5.390783e-03 1.748158e-01 1.395998e-01
